
=== Results from: loomrv-benchmark-dense-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
=== Results from: bench_binary_nested_best_case_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx (Sequential)                                | 5.08553
loomrv (Sequential, binary)                 | 1.22269
loomrv (Multi-Property, binary)             | 0.53079

=== Results from: bench_binary_nested_worst_case_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx (Sequential)                                | 6.20615
loomrv (Sequential, binary)                 | 1.63614
loomrv (Multi-Property, binary)             | 1.47426

=== Results from: bench_binary_worst_case_unique_leaves_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx (Sequential)                                | 7.03868
loomrv (Sequential, binary)                 | 2.02250
loomrv (Multi-Property, binary)             | 1.74079
